Rndrng_NPI,Rndrng_Prvdr_First_Name,Rndrng_Prvdr_Last_Org_Name,Rndrng_Prvdr_Crdntls,Rndrng_Prvdr_City,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_Zip5
1003000597,Dae,Kim,"M.D., PH.D",Tulsa,OK,74104
1003002072,Alexander,Gotesman,M.D.,Hamilton,NJ,08690
1003013392,Erik,Ratchford,D.O.,Grand Rapids,MI,49503
1003014267,Reza,Mehrazin,MD,New York,NY,10029
1003025875,Patrick,Davol,M.D.,Medford,OR,97504
1003029372,Youssef,Tanagho,"MD, MPH",Panorama City,CA,91402
1003029836,Thomas,Mueller,MD,Linwood,NJ,08221
1003041765,Kathleen,Sterling,MD,Bethesda,MD,20817
1003051780,Wenwu,Jin,"M.D., PH.D.",San Francisco,CA,94108
1003058546,Samuel,Kieley,M.D.,Woodbury,MN,55125
1003066580,Hristos,Kaimakliotis,MD,Indianapolis,IN,46202
1003073883,Brian,Hu,MD,Loma Linda,CA,92354
1003078932,Kevan,Sternberg,M.D.,Worcester,MA,01605
1003084203,Joseph,Alukal,M.D.,New York,NY,10016
1003085226,Saleem,Zafar,M.D.,Toledo,OH,43617
1003086588,Maggie,Vuturo,MD,Meridian,ID,83642
1003090382,John,Tillett,M.D.,Denver,CO,80210
1003094889,Gregory,Lamberton,M.D.,Puyallup,WA,98372
1003108549,Shaoqing,Zhou,MD,Annapolis,MD,21401
1003115684,Alberto,Duboy,M.D.,Tampa,FL,33612
1003127002,Jorge,Ramirez,M.D.,Laredo,TX,78041
1003129651,Jason,Bridges,,Baton Rouge,LA,70808
1003132549,Vikas,Desai,MD,Algonquin,IL,60102
1003134701,Lamont,Barlow,,New York,NY,10010
1003136565,Albert,Petrossian,M.D.,Long Beach,CA,90815
1003136839,Eric,Chapman,D.O.,Brainerd,MN,56401
1003137936,Janine,Oliver,M.D.,Aurora,CO,80045
1003158106,Christine,Cumarasamy,MD,Hartford,CT,06106
1003161472,Navneet,Mander,M.D.,Grand Rapids,MI,49546
1003179128,Tammy,Ho,M.D.,Irvine,CA,92618
1003179730,Kalen,Rimar,M.D.,Jackson,MI,49201
1003182270,Caroline,Elmer-Lyon,MD,Edgewood,KY,41017
1003197088,James,Stocks,M.D.,Cypress,TX,77433
1003203738,Anup,Shah,MD,Glendale,CA,91206
1003208026,Philip,Wong,MD,Toledo,OH,43606
1003221458,Vincent,Rodriguez Bury,M.D.,Carolina,PR,00985
1003227802,Xiaosong,Meng,"M.D., PH.D.",Dallas,TX,75235
1003229055,Nathan,Jung,M.D.,Madison,WI,53716
1003236738,Daniel,Shapiro,MD,Madison,WI,53792
1003250689,Robert,Williams,MD,Rome,GA,30165
1003251778,Carrie,Stewart,M.D.,New Orleans,LA,70112
1003263328,Steven,Lomax,MD,Tyler,TX,75701
1003290867,Daniel,Frendl,"MD, PHD",Scottsdale,AZ,85259
1003293887,Gina,Tundo,M.D.,Cheektowaga,NY,14225
1003295320,Trey,Durdin,M.D.,Abilene,TX,79601
1003295353,Meagan,Dunne,M.D.,Baltimore,MD,21201
1003296567,Nathan,Peffer,M.D.,Doylestown,PA,18901
1003298019,Saum,Ghodoussipour,M.D.,Los Angeles,CA,90033
1003304916,Amanda,Myers,MD,Houston,TX,77030
1003342866,Mark,Ehlers,,Milwaukee,WI,53215
1003347105,Charles,Jones,MD,Saint Louis,MO,63110
1003347618,Joshua,Gottlieb,D.O.,Simi Valley,CA,93065
1003349440,Ruchika,Talwar,,Nashville,TN,37232
1003393216,Lior,Taich,M.D.,Salinas,CA,93901
1003475914,Jason,Akerman,MD,Manchester,NH,03104
1003800806,Victor,Nitti,M.D.,Los Angeles,CA,90095
1003805789,John,Pickard,MD,Flower Mound,TX,75028
1003809310,Mark,Rosenblum,MD,Bethesda,MD,20817
1003809385,Richard,Santarosa,MD,Stamford,CT,06902
1003813940,John,Taylor,"MD, MS",Kansas City,KS,66160
1003815259,Stanley,Hall,MD,Mt Pleasant,SC,29464
1003816166,F.,Nicholson,M.D.,Monroe,GA,30655
1003816901,Joseph,Womack,MD,Texarkana,TX,75503
