NPI,Physician_Name,State,Total_Procedures_Annual,Total_Revenue_Annual,Total_RVUs_Annual,Monthly_Procedures,Monthly_Revenue,Monthly_RVUs,RVU_to_National_Mean_Diff_Pct,Performance_Tier
1003000597,Dae Kim,OK,2118.0,163345.49999967118,4720.122405802174,176.5,13612.12,393.3,22.5,Average Performer
1003002072,Alexander Gotesman,NJ,80.0,4804.840000002,138.84332865214904,6.7,400.4,11.6,-96.4,Bottom 10% Performer
1003013392,Erik Ratchford,MI,1146.0,57397.5099996255,1658.5903681890961,95.5,4783.13,138.2,-56.9,Average Performer
1003014267,Reza Mehrazin,NY,978.0,172538.8300010672,4985.777982010945,81.5,14378.24,415.5,29.4,Average Performer
1003025875,Patrick Davol,OR,6302.0,274221.99000030523,7924.071120212713,525.2,22851.83,660.3,105.7,Average Performer
1003029372,Youssef Tanagho,CA,1044.0,52647.9399999518,1521.3441522025475,87.0,4387.33,126.8,-60.5,Average Performer
1003029836,Thomas Mueller,NJ,5705.0,527218.9100008063,15234.810814270457,475.4,43934.91,1269.6,295.5,Top 10% Performer
1003041765,Kathleen Sterling,MD,5450.0,200865.6900008099,5804.32668136952,454.2,16738.81,483.7,50.7,Average Performer
1003051780,Wenwu Jin,CA,2113.0,221665.139999567,6405.3591552833595,176.1,18472.09,533.8,66.3,Average Performer
1003058546,Samuel Kieley,MN,59542.0,679127.900001615,19624.457467205735,4961.8,56593.99,1635.4,409.5,Top 10% Performer
1003066580,Hristos Kaimakliotis,IN,409.0,100052.969999029,2891.1862613933054,34.1,8337.75,240.9,-24.9,Average Performer
1003073883,Brian Hu,CA,423.0,36899.9699999778,1066.2820535042217,35.2,3075.0,88.9,-72.3,Average Performer
1003078932,Kevan Sternberg,MA,113.0,8087.070000004,233.68847200802165,9.4,673.92,19.5,-93.9,Bottom 10% Performer
1003084203,Joseph Alukal,NY,372.0,30834.429999914,891.0088365643728,31.0,2569.54,74.3,-76.9,Average Performer
1003085226,Saleem Zafar,OH,1862.0,154128.9699995983,4453.796429529919,155.2,12844.08,371.1,15.6,Average Performer
1003086588,Maggie Vuturo,ID,481.0,41604.470000063,1202.2259017188537,40.1,3467.04,100.2,-68.8,Average Performer
1003090382,John Tillett,CO,6615.0,101467.8499998645,2932.071420724162,551.2,8455.65,244.3,-23.9,Average Performer
1003094889,Gregory Lamberton,WA,1087.0,86743.9000002072,2506.599973421156,90.6,7228.66,208.9,-34.9,Average Performer
1003108549,Shaoqing Zhou,MD,8979.0,318136.6699991925,9193.05413478488,748.2,26511.39,766.1,138.7,Top 10% Performer
1003115684,Alberto Duboy,FL,7356.0,347574.7399996817,10043.712976278288,613.0,28964.56,837.0,160.7,Top 10% Performer
1003127002,Jorge Ramirez,TX,1185.0,59606.149999964,1722.412457882229,98.8,4967.18,143.5,-55.3,Average Performer
1003129651,Jason Bridges,LA,427.0,35204.660000413,1017.293432980593,35.6,2933.72,84.8,-73.6,Average Performer
1003132549,Vikas Desai,IL,1438.0,97447.6600006995,2815.901774846689,119.8,8120.64,234.7,-26.9,Average Performer
